ax,ay,az,gx,gy,gz
0.0070,-0.0357,-1.0200,-2.3103,3.4991,-28.3595
0.0585,-0.0508,-1.0186,-1.8542,3.4917,-40.2477
-0.0298,-0.0236,-1.0206,-2.9608,4.1347,-41.6234
-0.0901,0.0035,-1.0259,-2.7888,4.5758,-48.6292
-0.0555,-0.0175,-0.9918,-2.7066,3.6263,-28.2100
-0.0292,-0.0294,-1.0226,-1.9290,3.1178,-32.9204
-0.0914,-0.0046,-1.0135,-2.1234,3.7085,-36.4420
-0.0344,-0.0223,-1.0281,-1.7421,4.0375,-27.2006
-0.0016,-0.0303,-1.0237,-1.6898,3.4991,-39.3953
-0.0690,-0.0335,-1.0303,-1.8767,3.8580,-32.4792
-0.0463,-0.0208,-1.0103,-1.7645,3.4618,-20.3070
-0.0403,-0.0237,-1.0218,-1.8542,3.8356,-20.2771
-0.0607,0.0094,-1.0117,-1.8318,3.0057,-26.0043
-0.1121,-0.0370,-1.0120,-0.1421,3.7160,-26.4978
-0.0653,-0.0250,-1.0185,-1.8542,3.5889,-19.3649
-0.0551,-0.0221,-1.0186,-1.9514,3.1926,-8.8226
-0.0490,-0.0231,-1.0020,-1.5103,3.4468,-5.0543
-0.0460,-0.0278,-1.0184,-1.3458,3.3347,-3.2599
-0.0474,-0.0246,-1.0142,-1.6673,3.3122,-0.5234
-0.0521,-0.0219,-1.0225,-1.7720,3.2449,0.4710
-0.2068,0.0152,-1.0190,-0.8374,3.3347,30.9839
-0.1177,-0.0138,-1.0062,-0.8673,2.6991,50.0946
-0.0792,0.0157,-1.0139,-0.5309,3.9627,63.8744
-0.1779,-0.0190,-0.9805,-0.3813,2.9309,93.9012
0.0299,-0.1104,-1.5008,2.2356,1.3309,129.4609
0.0685,-0.1669,-1.3794,0.3589,1.7421,126.9113
0.0701,0.0620,-0.8871,0.4710,2.6617,107.8081
-0.0204,-0.0095,-1.0284,0.1495,2.9160,102.8659
0.0230,-0.0287,-1.0159,-0.5084,3.6935,103.2547
-0.1033,-0.0068,-0.9736,-1.2785,2.6094,100.3163
