ax,ay,az,gx,gy,gz
-0.5800,0.5853,0.5496,3.7982,-0.6131,16.1424
-0.5840,0.5798,0.5209,4.7627,-2.5645,9.2189
-0.5892,0.6022,0.5106,-0.3215,-0.5234,5.8618
-0.5856,0.6235,0.5239,-4.5609,2.4524,8.4114
-0.5771,0.6041,0.5361,-4.6356,0.8374,9.7273
-0.5931,0.5849,0.5240,-2.6767,0.3664,3.8730
-0.5939,0.5867,0.5422,1.3757,-0.9570,-1.7421
-0.5865,0.5721,0.5478,5.8693,-3.6786,-7.9628
-0.5672,0.5555,0.5547,9.5255,-10.1535,-18.5425
-0.5466,0.5476,0.5361,12.5087,-14.7218,-35.6120
-0.5217,0.5851,0.4313,6.9460,-3.7683,-55.4256
-0.4691,0.6346,0.4809,2.2057,9.8470,-73.5643
-0.3960,0.5969,0.4079,-3.7160,22.0416,-86.6861
-0.4562,0.6439,0.3859,-19.4322,33.6157,-103.7706
-0.4366,0.6908,0.5901,-24.9800,25.6604,-113.9091
-0.4015,0.7458,0.5906,-17.1443,19.6266,-119.8906
-0.3580,0.7729,0.5179,-8.1647,23.0435,-121.1317
-0.2968,0.7510,0.4403,17.6004,17.9070,-125.9917
-0.4128,0.9489,0.7002,8.8301,15.1031,-131.8161
-0.1728,0.8307,0.5207,4.7627,11.1554,-136.2723
-0.2448,1.0535,0.8818,-6.0114,14.6471,-137.7228
-0.1216,0.9020,0.5546,-12.8227,17.9219,-128.9973
-0.0933,0.8831,0.6022,-19.1631,9.9217,-128.2870
-0.0483,0.9282,0.5927,-2.4150,10.4900,-137.9994
-0.0108,0.9139,0.5106,16.4116,10.2357,-144.5192
0.0510,0.8675,0.4808,12.4713,1.5627,-143.6743
0.0737,0.8451,0.5049,-4.4861,-13.4433,-140.1976
0.1002,0.8285,0.5390,-11.2601,-28.6586,-137.1919
0.1961,0.8276,0.5215,-5.6599,-29.3988,-131.1208
0.2194,0.7597,0.4609,0.6281,-26.1539,-122.0514
0.2305,0.7653,0.4995,-9.7647,-28.9876,-115.8905
0.1997,0.7322,0.5974,-10.9236,-27.3352,-111.4867
0.2066,0.6893,0.6642,1.3533,-27.5595,-94.8059
0.2757,0.6532,0.6025,15.3200,-13.3910,-79.3887
0.3728,0.7246,0.5076,15.6415,-4.3066,-64.3005
0.3262,0.7712,0.5746,-2.6244,-5.8244,-67.7623
0.3132,0.6868,0.6664,-1.8468,-4.5609,-65.6464
0.3792,0.6089,0.6014,11.2526,1.5253,-58.1920
0.4210,0.6048,0.4991,13.3760,0.0748,-58.3714
0.4489,0.6201,0.5903,-10.3629,-18.0864,-56.1957
0.3785,0.6249,0.7404,7.9179,-20.6584,-57.9378
0.4026,0.5189,0.4849,35.4251,-5.1216,-57.4593
0.4456,0.5351,0.3854,10.7816,13.3237,-47.3581
0.4277,0.6293,0.5994,-19.7089,17.9294,-37.2569
0.4034,0.5953,0.7307,-7.6263,10.0638,-27.9782
0.4156,0.5386,0.6100,15.0134,-0.9570,-14.9611
0.5038,0.5350,0.4606,16.4340,-4.6880,-7.1030
0.5183,0.5666,0.4910,-3.7833,2.5945,-7.3198
0.5187,0.6009,0.6580,-13.4283,5.3085,-4.8973
0.4363,0.6635,0.7886,17.2041,-5.2188,-0.1346
0.4526,0.5137,0.5407,6.2506,10.1535,6.2431
0.4185,0.5388,0.6219,-0.1794,11.3274,20.7706
0.4130,0.5605,0.5786,-5.6300,13.5854,35.2980
0.4066,0.5971,0.6260,-8.4039,10.7816,50.8273
0.3981,0.6173,0.6969,-7.2600,10.5872,64.8538
0.3481,0.5979,0.6432,8.6806,9.6526,78.6635
0.3289,0.5548,0.5196,13.5031,8.3142,93.8339
0.3202,0.5834,0.4327,-5.5777,-0.1495,114.6120
0.3453,0.6595,0.5162,-32.5764,3.6038,124.1898
0.3605,0.7086,0.5723,-43.5001,18.5275,122.9561
0.2905,0.7452,0.5407,-38.2214,27.0287,119.3597
0.2545,0.7839,0.5234,-34.3484,18.6845,125.3188
0.3908,0.8470,-0.1295,39.4626,-8.7553,117.5055
0.1188,0.5466,0.1068,28.2623,-7.3422,107.4118
0.1379,0.9063,0.6086,7.9478,-4.7852,99.2995
0.1138,0.8065,0.3727,-7.7983,4.7478,87.6581
0.0518,0.9126,0.6392,-18.3331,1.3683,85.2505
-0.0930,0.8979,0.4540,-29.9072,-7.3422,92.5928
-0.1363,0.8820,0.5894,-48.6740,-19.1481,116.4587
-0.2232,0.8148,0.4243,-63.8445,-17.7649,143.9510
-0.1696,0.8337,0.4662,-67.6277,-11.4246,161.2523
-0.1972,0.8879,0.3708,-42.7972,-1.6524,163.9589
-0.1293,0.8677,0.4929,-35.1260,7.4918,159.9438
